model_id,status,path,dim
google/siglip-so400m-patch14-384,ok,kernels_out/K_google__siglip-so400m-patch14-384_8192.pt,1152
laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,ok,kernels_out/K_laion__CLIP-ViT-bigG-14-laion2B-39B-b160k_8192.pt,1280
laion/CLIP-ViT-L-14-DataComp.XL-s13B-b90K,ok,kernels_out/K_laion__CLIP-ViT-L-14-DataComp.XL-s13B-b90K_8192.pt,768
google/siglip-large-patch16-384,ok,kernels_out/K_google__siglip-large-patch16-384_8192.pt,1024
laion/CLIP-ViT-H-14-laion2B-s32B-b79K,ok,kernels_out/K_laion__CLIP-ViT-H-14-laion2B-s32B-b79K_8192.pt,1024
laion/CLIP-ViT-g-14-laion2B-s34B-b88K,ok,kernels_out/K_laion__CLIP-ViT-g-14-laion2B-s34B-b88K_8192.pt,1024
google/siglip-large-patch16-256,ok,kernels_out/K_google__siglip-large-patch16-256_8192.pt,1024
laion/CLIP-ViT-L-14-laion2B-s32B-b82K,ok,kernels_out/K_laion__CLIP-ViT-L-14-laion2B-s32B-b82K_8192.pt,768
google/siglip-base-patch16-512,ok,kernels_out/K_google__siglip-base-patch16-512_8192.pt,768
google/siglip-base-patch16-384,ok,kernels_out/K_google__siglip-base-patch16-384_8192.pt,768
laion/CLIP-ViT-B-16-DataComp.XL-s13B-b90K,ok,kernels_out/K_laion__CLIP-ViT-B-16-DataComp.XL-s13B-b90K_8192.pt,512
google/siglip-base-patch16-256,ok,kernels_out/K_google__siglip-base-patch16-256_8192.pt,768
openai/clip-vit-large-patch14,ok,kernels_out/K_openai__clip-vit-large-patch14_8192.pt,768
google/siglip-base-patch16-224,ok,kernels_out/K_google__siglip-base-patch16-224_8192.pt,768
google/siglip-base-patch16-256-multilingual,ok,kernels_out/K_google__siglip-base-patch16-256-multilingual_8192.pt,768
laion/CLIP-ViT-B-32-DataComp.XL-s13B-b90K,ok,kernels_out/K_laion__CLIP-ViT-B-32-DataComp.XL-s13B-b90K_8192.pt,512
laion/CLIP-ViT-B-32-laion2B-s34B-b79K,ok,kernels_out/K_laion__CLIP-ViT-B-32-laion2B-s34B-b79K_8192.pt,512
nomic-ai/nomic-embed-vision-v1.5,ok,kernels_out/K_nomic-ai__nomic-embed-vision-v1.5_8192.pt,768
openai/clip-vit-base-patch16,ok,kernels_out/K_openai__clip-vit-base-patch16_8192.pt,512
openai/clip-vit-base-patch32,ok,kernels_out/K_openai__clip-vit-base-patch32_8192.pt,512
jinaai/jina-clip-v1,ok,kernels_out/K_jinaai__jina-clip-v1_8192.pt,768
Salesforce/blip-itm-large-flickr,ok,kernels_out/K_Salesforce__blip-itm-large-flickr_8192.pt,512
kakaobrain/align-base,ok,kernels_out/K_kakaobrain__align-base_8192.pt,640
Salesforce/blip-itm-large-coco,ok,kernels_out/K_Salesforce__blip-itm-large-coco_8192.pt,512
Salesforce/blip-itm-base-coco,ok,kernels_out/K_Salesforce__blip-itm-base-coco_8192.pt,512
Salesforce/blip-itm-base-flickr,ok,kernels_out/K_Salesforce__blip-itm-base-flickr_8192.pt,512
